,0
0,rmse
1,SLATB001
2,SPAN
3,EFFTB003
4,TMNFTB003
5,CVO
6,FLTB003
7,TDWI
8,CVL
9,TEFFMX
129,"[2.8865620545303883, 0.0013358765463356273, 44.06580519114342, 0.4010602892715991, 1.071070369399305, 0.5110170761655921, 0.7737614058900112, 50.00940407334224, 0.47140057594853746, 34.88665906073466]"
130,"[0.6535072501564123, 0.0028974632084507257, 48.79459115472026, 0.24284577385049366, 1.1369228291380966, 0.8062814497511072, 0.7320362588883944, 30.626251218517336, 0.6280114410673968, 26.11470792091233]"
131,"[0.587555744681511, 0.002480053272345482, 42.548715487556564, 0.4631627679434569, 0.9380626389022655, 0.6089993220224115, 0.6883065748778426, 46.86244674299718, 0.6515574379329412, 28.008293870608682]"
132,"[1.5033897081968652, 0.002137142216716483, 45.97905421304677, 0.3561675348025019, 1.0994954181121273, 0.6402328722540509, 0.6419254272708336, 58.14289130306383, 0.556415828682519, 33.15637336639322]"
133,"[4.219263133934245, 0.003997215618995258, 49.96092158810808, 0.4789373861844413, 1.1898089625949446, 0.8578915252361374, 0.6241100620037714, 69.7443877272875, 0.6836827836809811, 39.465904354163555]"
134,"[3.293440059625706, 0.0014736924993196516, 46.951777496129445, 0.17455299313227854, 1.0143012745650573, 0.6856978335434895, 0.7447650797960419, 56.51030915287295, 0.5216212111210947, 34.33247430798337]"
135,"[3.442535826615127, 0.0011591956647309218, 17.29122775609613, 0.18880019920918203, 1.265802483712008, 0.7670590179611897, 0.7080569419502619, 74.93218801202211, 0.5956295088625537, 32.12427125148115]"
136,"[2.381324867446205, 0.003088805441165451, 28.01951473237898, 0.3401819737972407, 1.2917982318293704, 0.7476546913902841, 0.695080329367088, 31.975839549612253, 0.66629775809599, 44.329187206174375]"
137,"[1.376600583423353, 0.0035639431319082816, 40.536498579312436, 0.6150861002688645, 0.6620545737912229, 0.8326853502027698, 0.5643626253861921, 29.33418308803835, 0.5762503573656754, 38.33969969567597]"
138,"[3.428522147680901, 0.001087784145202964, 33.13879118843435, 0.15532630409242482, 1.1564722757902677, 0.5962120064676524, 0.6334864929466041, 52.52711497509362, 0.7673780586742787, 37.305170396855054]"
139,"[1.4589115124023768, 0.003943999983966586, 42.12553602864682, 0.12687309907738123, 0.9638072782417211, 0.36801108052154546, 0.6117238548398155, 54.570895232236765, 0.8764363631426907, 29.797304790636403]"
140,"[1.477576915628441, 0.002351429389265889, 26.70449531772927, 0.457254460010948, 1.4178130532576416, 0.6541554640095883, 0.5979396168611384, 37.87565922244943, 0.4308628055749842, 24.41623074167093]"
141,"[2.4243071411739976, 0.0016690947898714888, 48.05848648831487, 0.23354452358879402, 1.3331747883952156, 0.48461383492833965, 0.7529099692180222, 26.079940763431257, 0.7133326531750784, 42.925365634897474]"
